FID,POSTO,ESTACAO,ESTACAO_ID,LAT,LONG,LAT_DECIMAIS,LONG_DECIMAIS,ALT,T_MED_JAN,T_MED_FEV,T_MED_MAR,T_MED_ABR,T_MED_MAI,T_MED_JUN,T_MED_JUL,T_MED_AGO,T_MED_SET,T_MED_OUT,T_MED_NOV,T_MED_DEZ,T_MED_ANO,T_MAX_ANO,T_MIN_ANO,PRECIP_MD_JAN,PRECIP_MD_FEV,PRECIP_MD_MAR,PRECIP_MD_ABR,PRECIP_MD_MAI,PRECIP_MD_JUN,PRECIP_MD_JUL,PRECIP_MD_AGO,PRECIP_MD_SET,PRECIP_MD_OUT,PRECIP_MD_NOV,PRECIP_MD_DEZ,PRECIP_MD_ANO
83,3824309,CORREDORAC,83,6°11',37°58',-6.18,-37.97,270.0m,27.2,26.5,26,25.8,25.5,24.8,24.9,25.5,26.4,27.1,27.4,27.5,26.2,32.8,20.8,56.8,102.9,200.5,202.3,73.1,45.5,28.6,2.2,3.1,3.7,5.7,23.3,757.3
84,3824344,MILAGRESST,84,6°9',37°47',-6.15,-37.78,270.0m,27.1,26.5,25.9,25.8,25.4,24.7,24.7,25.3,26.2,26.9,27.2,27.4,26.1,32.7,20.8,76.3,131.5,250.3,239.3,108.3,62.3,39.7,6.9,4.3,7.8,10.5,33,961.7
85,3824542,JOAODIAS,85,6°16',37°48',-6.27,-37.8,310.0m,26.9,26.2,25.7,25.6,25.1,24.5,24.4,25,26,26.6,26.9,27.1,25.8,32.6,20.6,70.1,134.2,241.5,228.8,116.3,50.1,22.3,6.6,3.6,8.2,11.5,33.2,939.6
86,3825099,JUCURUTU,86,6°2',37°1',-6.03,-37.02,75.0m,28,27.5,27.1,26.8,26.4,25.7,25.6,26.2,27,27.6,28,28.2,27,32.7,21.7,64.3,126.6,220.4,205.9,111,40.4,24.6,7.6,4.5,4.2,9.2,28.5,851.1
87,3825124,MARACANAU,87,6°3',37°23',-6.05,-37.38,320.0m,26.5,26,25.5,25.3,24.9,24.2,24,24.5,25.4,26,26.4,26.6,25.4,32.1,20.4,61.4,130.1,227.2,207.7,113.4,30.8,14.6,2.7,2.2,3.5,1.2,18.8,742.2
88,3825374,OITICICAAC,88,6°9',37°8',-6.15,-37.13,80.0m,28.1,27.6,27.1,26.8,26.4,25.8,25.7,26.3,27.1,27.8,28.1,28.3,27.1,32.8,21.7,58.6,121.7,191.6,182.1,100,49.9,26.4,6.9,4.4,6.8,5.9,25.8,811.6
89,3825733,JARDIMDEPIRANHAS,89,6°23',37°21',-6.38,-37.35,130.0m,28,27.4,26.9,26.6,26.2,25.5,25.5,26.1,27,27.7,28.1,28.3,26.9,32.9,21.4,66.3,139,224.1,177.2,80.8,34.2,18.9,5.1,1.7,5.4,6.5,24.3,794.5
90,3825766,S.FERNANDO,90,6°23',37°11',-6.38,-37.18,135.0m,27.9,27.3,26.8,26.5,26.1,25.4,25.3,25.9,26.8,27.5,27.9,28.1,26.8,32.8,21.4,51.8,124.2,198.4,178.5,73.6,40.5,33.7,5.5,3.7,3.4,5.6,33.4,765.5
91,3825789,MUNDONOVOAC,91,6°23',37°4',-6.38,-37.07,180.0m,27.4,26.9,26.4,26.2,25.7,25,24.9,25.4,26.3,27,27.4,27.6,26.3,32.5,21.1,48.3,120.1,190,176.5,71.7,29.7,18.2,4,1.5,2.2,5.3,27.4,714.4
92,3825941,LAGOINHAAC,92,6°27',37°18',-6.45,-37.3,120.0m,28.1,27.4,26.9,26.7,26.3,25.6,25.6,26.2,27.1,27.8,28.1,28.3,27,32.9,21.4,48.6,126.5,173.4,173,67.3,35.2,21.9,5.5,0.2,6.5,3.8,23,732.5
